epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,2944.47,1.03113,0.64284,1.10455,0.91542,0.78399,0.83942,0.61748,0.86533,0.45216,1.00625,2.7235e-06,2.7235e-06,2.7235e-06
149,2964.12,1.03764,0.64596,1.11129,0.9159,0.78323,0.83956,0.6175,0.86545,0.45222,1.00633,2.674e-06,2.674e-06,2.674e-06
150,2983.99,1.03876,0.64862,1.10564,0.91517,0.78366,0.83951,0.61753,0.8654,0.45217,1.00635,2.6245e-06,2.6245e-06,2.6245e-06
151,3003.82,1.04642,0.65544,1.10996,0.91626,0.78362,0.83986,0.61779,0.86534,0.45233,1.00626,2.575e-06,2.575e-06,2.575e-06
152,3023.42,1.0477,0.6548,1.11475,0.91692,0.78394,0.83954,0.61744,0.86532,0.45239,1.00628,2.5255e-06,2.5255e-06,2.5255e-06
153,3043.42,1.03691,0.6483,1.10512,0.91624,0.78332,0.83999,0.61736,0.86515,0.45215,1.00614,2.476e-06,2.476e-06,2.476e-06
154,3063.29,1.04088,0.64499,1.10996,0.9171,0.78369,0.83981,0.61759,0.86501,0.45233,1.00606,2.4265e-06,2.4265e-06,2.4265e-06
155,3083.31,1.04123,0.64327,1.10838,0.91668,0.7834,0.83998,0.61782,0.86514,0.45212,1.0061,2.377e-06,2.377e-06,2.377e-06
156,3103.04,1.03333,0.64592,1.1026,0.91681,0.78264,0.83958,0.61801,0.86515,0.45234,1.00607,2.3275e-06,2.3275e-06,2.3275e-06
157,3122.72,1.03665,0.64489,1.11058,0.91716,0.78303,0.83981,0.61783,0.86517,0.45218,1.0061,2.278e-06,2.278e-06,2.278e-06
158,3143.54,1.02597,0.63914,1.10379,0.91721,0.782,0.83963,0.61816,0.86501,0.4522,1.0061,2.2285e-06,2.2285e-06,2.2285e-06
159,3163.3,1.04284,0.64552,1.11256,0.91753,0.78322,0.8399,0.61826,0.86507,0.45244,1.0061,2.179e-06,2.179e-06,2.179e-06
160,3183.15,1.04807,0.64935,1.11217,0.91817,0.78316,0.8405,0.61853,0.86493,0.45234,1.00609,2.1295e-06,2.1295e-06,2.1295e-06
161,3202.88,1.033,0.63697,1.10645,0.91757,0.78374,0.83991,0.61843,0.86497,0.4521,1.00595,2.08e-06,2.08e-06,2.08e-06
162,3222.62,1.02873,0.64018,1.10134,0.91788,0.7822,0.8399,0.61864,0.86493,0.45215,1.00599,2.0305e-06,2.0305e-06,2.0305e-06
163,3242.69,1.04374,0.64863,1.11191,0.91877,0.78187,0.84031,0.61851,0.86499,0.45221,1.00597,1.981e-06,1.981e-06,1.981e-06
164,3262.39,1.04232,0.64636,1.10801,0.91826,0.78201,0.83976,0.61795,0.86497,0.45221,1.00602,1.9315e-06,1.9315e-06,1.9315e-06
165,3281.86,1.03701,0.64982,1.10952,0.91839,0.78199,0.83991,0.61757,0.86471,0.45198,1.00602,1.882e-06,1.882e-06,1.882e-06
166,3301.68,1.02432,0.6341,1.10345,0.91814,0.78229,0.84036,0.61807,0.86491,0.45219,1.00598,1.8325e-06,1.8325e-06,1.8325e-06
167,3321.21,1.04816,0.65799,1.11367,0.91714,0.78257,0.84013,0.61814,0.86486,0.45215,1.00596,1.783e-06,1.783e-06,1.783e-06
168,3340.9,1.03412,0.6414,1.1044,0.91821,0.78227,0.8403,0.61797,0.86485,0.45235,1.00595,1.7335e-06,1.7335e-06,1.7335e-06
169,3360.45,1.03936,0.64505,1.10761,0.91834,0.78157,0.83972,0.61787,0.86476,0.4521,1.00599,1.684e-06,1.684e-06,1.684e-06
